T(K),a,da/dT
672.15,0.66248542,0.00128194
672.9,0.66358935,0.00126751
673.65,0.66465795,0.00124961
674.65,0.66605153,0.00123285
675.4,0.66707010,0.00121256
676.15,0.66806222,0.00118823
677.4,0.66960207,0.00116340
678.15,0.67050563,0.00113947
678.65,0.67108801,0.00111449
679.4,0.67182862,0.00108888
680.65,0.67324445,0.00106389
681.4,0.67403292,0.00103721
682.15,0.67467708,0.00101234
683.15,0.67560001,0.00098770
683.9,0.67621106,0.00096454
684.65,0.67674510,0.00094318
685.65,0.67749089,0.00092142
686.4,0.67803303,0.00090751
687.4,0.67874332,0.00089634
687.9,0.67906270,0.00088467
688.9,0.67979988,0.00087780
689.65,0.68032864,0.00087334
690.65,0.68103522,0.00087570
691.65,0.68174564,0.00088009
692.4,0.68228388,0.00089188
693.4,0.68301430,0.00090031
694.15,0.68357673,0.00091244
695.15,0.68435406,0.00093329
695.65,0.68475714,0.00095358
696.65,0.68559841,0.00097679
697.65,0.68643914,0.00100421
698.4,0.68720534,0.00103001
699.15,0.68800757,0.00105746
700.4,0.68928202,0.00108378
700.9,0.68984382,0.00111007
701.65,0.69067074,0.00112993
702.9,0.69226223,0.00115688
703.4,0.69290827,0.00117639
704.15,0.69390535,0.00118869
705.15,0.69528233,0.00120571
706.15,0.69668536,0.00121713
706.9,0.69778312,0.00122481
707.65,0.69891658,0.00123061
708.65,0.70040432,0.00123099
709.4,0.70153478,0.00122605
710.15,0.70265537,0.00122050
711.4,0.70455377,0.00121388
712.15,0.70565900,0.00119914
712.9,0.70671001,0.00118456
714.15,0.70835129,0.00116725
714.65,0.70909452,0.00114966
715.4,0.71004874,0.00112621
716.15,0.71084914,0.00110174
716.9,0.71175765,0.00107607
717.9,0.71281925,0.00104982
718.9,0.71379192,0.00102083
719.9,0.71473726,0.00099070
720.65,0.71535023,0.00095921
721.4,0.71587362,0.00093027
722.65,0.71672362,0.00089783
723.15,0.71713844,0.00086946
723.9,0.71761997,0.00084632
724.9,0.71821660,0.00081823
725.9,0.71883839,0.00079858
726.65,0.71928271,0.00078300
727.4,0.71972752,0.00076036
728.4,0.72031004,0.00074603
729.15,0.72074876,0.00074330
729.9,0.72121063,0.00073416
730.9,0.72177274,0.00072978
731.65,0.72221518,0.00073141
732.4,0.72266377,0.00073336
733.65,0.72347442,0.00073871
734.15,0.72375767,0.00075058
735.15,0.72442903,0.00076413
735.65,0.72485293,0.00077198
736.9,0.72567661,0.00078677
737.65,0.72630020,0.00080325
738.4,0.72694624,0.00081837
739.4,0.72777612,0.00083489
740.15,0.72841859,0.00085130
740.9,0.72915956,0.00086773
742.15,0.73034234,0.00088503
742.9,0.73104329,0.00089912
743.65,0.73180835,0.00091288
744.65,0.73281007,0.00092871
745.4,0.73353942,0.00093848
746.15,0.73432105,0.00094677
746.9,0.73512581,0.00095524
748.4,0.73671166,0.00096358
748.9,0.73724708,0.00095918
749.65,0.73805312,0.00096037
750.9,0.73937846,0.00095578
