T(K),a,da/dT
844.65,0.834226973,7.98E-04
845.9,0.835119175,7.14E-04
846.65,0.835718006,7.98E-04
847.4,0.836264895,7.29E-04
848.4,0.836971799,0.000706903
849.15,0.837486346,0.000686063
849.65,0.837791331,0.000609971
850.9,0.838639816,0.000678787
851.65,0.839115327,0.000634015
852.4,0.839580945,0.000620824
853.4,0.840188297,0.000607352
854.15,0.840634772,0.0005953
854.9,0.841074164,0.000585855
855.9,0.84164955,0.000575386
856.4,0.841932762,0.000566423
857.4,0.842490479,0.000557717
858.4,0.843029507,5.39E-04
859.15,0.843440599,5.48E-04
859.9,0.843843973,5.38E-04
860.9,0.844355173,5.11E-04
861.65,0.844741608,5.15E-04
862.4,0.845114192,4.97E-04
863.4,0.845594201,4.80E-04
864.15,0.845957019,4.84E-04
864.9,0.846309801,4.70E-04
865.65,0.846659967,0.000466887
866.65,0.847127597,0.00046763
867.4,0.8474771,0.000466005
867.9,0.847713102,0.000472003
869.15,0.848304904,0.000473442
870.15,0.848783503,0.000478599
870.65,0.849017289,0.000467571
871.65,0.849487582,0.000470294
872.4,0.849835986,4.65E-04
873.15,0.850180053,0.000458757
874.15,0.850639315,0.000459262
874.9,0.850970277,0.000441283
875.65,0.851314277,0.000458668
876.65,0.851767267,0.00045299
878.15,0.852454261,0.000457996
879.4,0.853060634,4.85E-04
879.9,0.853292871,0.000464474
880.65,0.853683449,0.000520771
881.9,0.854337226,0.000523021
882.4,0.854587674,0.000500898
883.15,0.854998761,0.000548116
884.15,0.855542516,0.000543755
885.15,0.856105472,0.000562956
885.65,0.856390964,0.000570984
886.9,0.857119126,0.00058253
887.4,0.857398783,0.000559314
888.4,0.857989574,0.000590791
889.15,0.858420257,0.000574243
889.9,0.858850357,0.000573467
890.65,0.859277246,0.000569186
891.65,0.859835958,0.000558712
892.4,0.860250796,0.000553117
893.15,0.86064799,0.000529592
894.15,0.861168668,5.21E-04
894.9,0.861555269,5.15E-04
895.4,0.861795497,4.80E-04
896.65,0.862399332,4.83E-04
897.4,0.862752411,4.71E-04
898.15,0.86311003,4.77E-04
898.65,0.863327782,4.36E-04
899.9,0.863878776,4.41E-04
900.65,0.86423492,4.75E-04
901.15,0.864443219,4.17E-04
902.4,0.864989039,4.37E-04
903.15,0.865326605,4.50E-04
904.15,0.865748065,4.21E-04
904.9,0.866073609,4.34E-04
905.9,0.86650829,4.35E-04
906.4,0.866738037,4.59E-04
907.65,0.867256535,4.15E-04
908.15,0.867499856,4.87E-04
908.9,0.867825034,4.34E-04
909.9,0.868271547,4.47E-04
910.65,0.868592212,4.28E-04
911.4,0.868891853,4.00E-04
912.65,0.869453131,4.49E-04
913.4,0.869717271,3.52E-04
914.15,0.870019996,4.04E-04
915.15,0.870318401,2.98E-04
