T(K),a,da/dT
805.65,0.94111755,0.00077570
806.65,0.941780923,0.00077152
807.4,0.942294545,0.00076645
808.15,0.942810508,0.00076438
809.15,0.943515822,0.00076231
809.9,0.944043935,0.00075862
810.65,0.944587503,0.00075378
811.65,0.945329765,0.00075332
812.65,0.946093035,0.00074990
813.15,0.946482612,0.00074931
814.4,0.947478198,0.00074910
814.9,0.947862753,0.00074962
815.65,0.948498109,0.00074923
816.65,0.949322597,0.00075171
817.65,0.950146509,0.00075622
818.15,0.950536237,0.00075876
819.15,0.951348103,0.00076387
820.15,0.952146155,0.00076864
820.9,0.952752497,0.00077363
821.4,0.953101162,0.00077863
822.65,0.954072422,0.00078385
823.4,0.954635225,0.00078769
823.9,0.954987132,0.00079277
825.15,0.95594038,0.00079649
825.9,0.956501959,0.00079959
826.4,0.9568785,0.00080173
827.65,0.957830186,0.00080415
828.4,0.958409817,0.00080316
829.15,0.958996581,0.00080316
830.15,0.959776931,0.00079806
830.9,0.960385795,0.00079585
831.65,0.961003121,0.00079303
832.65,0.961835818,0.00078393
833.4,0.962473418,0.00078009
834.15,0.963115059,0.00077624
834.9,0.963742182,0.00076447
835.9,0.964631694,0.00075420
836.65,0.965285245,0.00074798
837.4,0.965936979,0.00073733
838.65,0.967009906,0.00072795
839.4,0.967639401,0.00071564
840.15,0.968253359,0.00070372
841.4,0.969283771,0.00069049
842.15,0.969790914,0.00067678
842.65,0.970148516,0.00066320
843.65,0.970878772,0.00064809
844.65,0.971412727,0.00063430
845.15,0.971761273,0.00061968
846.65,0.972639948,0.00060560
847.15,0.972857763,0.00059192
847.9,0.973197126,0.00057940
848.65,0.97358983,0.00056548
849.65,0.974043638,0.00055247
850.15,0.974281896,0.00053968
850.9,0.974579103,0.00052727
851.9,0.974994741,0.00051549
852.65,0.975286544,0.00050469
853.4,0.975575177,0.00049272
854.65,0.976058351,0.00048603
855.15,0.976245216,0.00047758
856.15,0.976668207,0.00046809
857.15,0.977077026,0.00046474
857.9,0.977408322,0.00045489
858.65,0.977752358,0.00044810
859.4,0.978107227,0.00044656
860.4,0.978593059,0.00044302
861.15,0.978963679,0.00043686
862.15,0.979461663,0.00043235
862.9,0.979835575,0.00042625
863.65,0.980208797,0.00042400
864.65,0.98071441,0.00042059
865.4,0.981072308,0.00041739
866.15,0.981433895,0.00041638
866.9,0.981786552,0.00041642
867.65,0.982127671,0.00041329
868.4,0.982455459,0.00041196
869.65,0.982969702,0.00041270
870.15,0.983164042,0.00041162
870.65,0.983359606,0.00040965
871.65,0.983709494,0.00041146
872.9,0.984140538,0.00040837
873.4,0.984301985,0.00040539
874.4,0.984601596,0.00040665
875.4,0.984932647,0.00040270
875.9,0.985091136,0.00039882
876.65,0.985313239,0.00039495
877.9,0.985757666,0.00039307
878.65,0.986048486,0.00038719
879.15,0.986189887,0.00038316
880.4,0.986670636,0.00037663
